statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
Texas,2,4,3,"When I hear the word ""taxes,"" I just think of paying taxes.",1,81,The last time I paid any kind of tax at all was income taxes in April 2014.,Neutral,Income tax,1,"FICA and one or two others, but it's been a while, so I don't remember.",0,No,My SS tax for retirement.,"I'm not upset because I don't know exactly what tax dollars are paid for.  I know some goes into SS, but that's mine, and some into Medicare/Medicaid, I think also, and then what the federal government does with the rest, I have no idea.",I don't know.  Social Security is mine for retirement.,60,"I don't know for sure.  I just always hear that a lot of it is wasted, and I'm sure it is.",1,Lowered taxes.,1,I like it because it lowers my taxes.,2,3,3,1,50,1,3,2,4,2,1,6,5,3,44,34,1,7,0.432154266
Virginia,2,2,4,trying to find all paper work,1,44,last week when i got paid,not very good...money could be spent better,alot of it....it sucks,1,state federal social security,1,0,rent bills kids anything we need,nothing maybe they use it the best way they know how,no i do not,68,theyre paid checks and salarys,1,alot gives the extra money we need,1,very good....please keep it,1,5,2,1,46,2,2,3,2,3,3,6,1,3,47,45,1,11,0.789782315
Massachusetts,1,2,5,Wasted money forcibly removed from workers under law.,1,40,I bought beer and paid both a state and federal tax on the purchase.,Like I'm being robbed.,Income tax,1,"F.I.T, MA S.I.T., FICA SS, FICA MED",0,0,Police and Fire departments. Infrastructure maintenance.,"Legislator pensions, over staffed government offices, social handouts.",My neighborhood is safer with the police around.,60,"pet projects, handouts, welfare programs.",3,,3,,1,4,3,1,39,1,3,5,4,1,1,6,1,1,22,18,1,17,1.294973709
Massachusetts,2,3,2,Its near the end of the year so I better start gathering information so I'll be ready to do my taxes before April 15,1,60,"I have paid taxes every year of my life since I was out of high school...over 52 years. Plus I pay sales tax, gas tax. / Last time was today when I bought gas and storage bins.",I think we should all pay our way.,income taxes,1,"Federal tax, State tax, Social Security tax",0,1,"Education, helping to feed the poor, police, fire, and our military",Inflated salaries for too many people / Social Security for people who didn't pay into it. / Abuse in spending by members in power. / Over the top pensions for politicians,No as much as others. I have a city pension so I'm only clearing $12.00 a month from Social Security even though I've worked under Social / Security at least 17 years. Other people who work are allowed to receive pensions from more than one company and their Social Security and / also in many states people can collect both Social Security and their pension. If its a Federal program it should work the same for all. I also wasn't allowed to collect half of my husbands after he died.,40,The salaries and benefits paid to elected officials who haven't been doing anything to help this country. ,3,,2,I think if a person is working and just not making enough to support his or her family deserves some help to make ends meet.,2,3,2,1,42,1,2,3,3,1,1,3,2,3,22,10,1,14,0.73595321
Pennsylvania,2,2,4,excessive spending by the governments taking my earned income,1,34,I pay it every pay check when they take it out,like a never ending viscious cycle,federal taxes,1,"Federal, state,local, uc tax, medicare, social security, union taxes (fair share and I don't belong to the union)",0,0,I cannot think of much as none of it benefits me or the country at large.  They waste more than they know what to do with,"excessive spending on things and programs that are pet projects for congress people, also monies to drug companies, oil companies and others of this kind that profit and say they cannot afford it.  Also bailouts...i say let fail","no, I don't...the roads are poor...nothing much gets done around here for the things that need done in the community or the country at large from what I can see",68,"bailouts to various companies and subsidies to things like oil, etc",3,,4,,1,4,4,2,10,2,3,2,4,4,4,6,5,1,39,42,1,NA,0.943841593
Florida,2,6,4,income--i'm in a state with no income taxes,1,50,I made a purchase in a store a couple of days ago and paid sales tax,responsible,federal income tax,1,"federal income tax, social security taxes, medicare--though I'm not sure you can call that a tax",0,0,"Libraries, roads, schools","Again, not sure I'm educated enough to speak to this, but offhand, I'd say some of the expenses for elected official. SOME!","yes; taxes pay for many thinngs I take advantage of including roads, schools (even though I don't have children), libraries, and no doubt many other social services that I probably don't even realize",2,"I don't think I can speak to this. I'd like to think that there really isn't much government waste, and I think that the definition of what constitutes government waste would differ depending on who you ask.",3,,3,,1,4,3,1,40,2,3,2,4,1,1,3,5,3,10,39,1,12,0.789782315
Louisiana,1,1,4,Money baby commingled to me,1,48,Four years agoi think I did not shur,It the greatest thing ever,medical taxes,0,,0,0,Streets repair child care,politics gay rights false causes,No,36,campaitn,3,,3,,4,7,4,2,40,1,3,1,4,3,4,6,3,3,19,43,2,2,1.601966451
Texas,1,5,1,Government  collecting money,1,39,We all pay some type of tax through shopping,it feels ok,income taxes,1,I don't recall,0,0,roads and services and care for seniors,I am not upset with anything,no,10,nothing,3,,4,,1,4,3,1,26,1,1,3,1,2,1,3,3,3,44,24,2,NA,1.326942338
California,2,4,6,Goverment taking citizen's hard earn money away,1,72,Taxes when I made a purchase in the store,good and bad because I am doing my job as a citizen but I ending up losing some money,property tax,1,"Fed, fica, state",0,1,school education and healthcare,the governament on their personal spending,none,81,executive spending on their traveling and vacation,3,,NA,,1,5,2,1,50,1,2,2,2,2,2,1,1,3,5,37,4,15,1.176626343
Tennessee,1,3,5,Theft by the Government of my money,1,43,When I bought my dinner tonight.,Overburdening,Income,1,FDIC,0,no,nothing that the feds spend it on,"Abortions, Lazy Bums, Polititions",No,98,All programs,3,,1,It is a bad idea,1,7,1,1,1,1,4,1,4,2,1,3,1,1,43,25,1,10,0.432154266
Alabama,1,2,NA,"What came to mind in my book is when you see the word taxes"" I'm sure most people think of paying taxes or even don't wanna hear the word taxes. That's what comes to mind in my head",2,58,Well I do work but other then that I'm paying taxes ,It feels really bad because of what's happening ,depending on what we doing and how we handle it,1,"Everything! Food, health, child support you name they taken it. ",0,no,No I'm not glad at all about the hole thing,No it's just sad the way it all works!!,You know what no I don't ,32,that the government is hiding so deep shit that's what I think. and trying to cover it all up. ,3,,3,,1,NA,1,NA,42,2,1,NA,4,4,4,6,5,4,1,51,5,1,1.601966451
New Jersey,2,6,2,anything you make money on can be taxed,2,70,I had some stocks that I had to pay taxes on ,there's nothing wrong with paying your taxes you have too ,none I'm retired,1,federal taxes and social security,0,0,"medical needs, clothing, and food",bills and plans that do not have anything to do with help the people in America,"yeah, I able to get some of my benefits from working at a young age",72,war,3,,3,,6,4,3,1,60,1,3,3,4,2,2,2,5,3,31,49,2,4,1.592262766
North Carolina,1,4,7,"I naturally think of the democratic party. That is one of the foremost things on their mind. I was born and raised to be a democrat. When I kept seeing what they do, I changed parties while I was still in my 20's. Never have regretted it,",1,60,My last paycheck in June when I retired. Property tax in September. Sales tax almost every day. Gas taxes at least once a week.  ,,Sales tax,1,"Federal,State,Social Security",0,1,The Armed Forces is the best thing.,"Abortion, foreign aid to countries that hate us, public assistance to those who are just too lazy to work.",Only with The Bush Tax Cuts,99,"Buying cell phones for people, Obamacare, foreign aid to countries who hate us, Wine and other alcoholic drinks for The White House, Expensive Dinners at the white house.",3,,1,I think it is fair to the unskilled minimum wage worker but they should be limited to 2 children.,6,7,3,1,80,1,2,1,2,2,1,3,1,1,34,20,1,13,0.506566333
Ohio,2,3,7,money paid to the government,1,50,"yesterday, I went to the store and paid tax on items purchased",a necessary evil,sales tax,1,"federal, state, local, ",0,0,"social security. medicare, military","president, congress, senate","not really, I never took government assistance",81,giving contracts to minorities that overcharge for services,1,"was great at the time, but that was many years ago",1,good thing for young single mothers,6,7,1,1,52,1,2,1,4,2,1,3,1,1,36,22,1,8,0.538743107
Ohio,2,3,4,The government is taking half of my paycheck,1,74,I had to pay taxes on my social security,Something that everyone has to do,30%,1,Federal state system security FICA city,2,0,I can think of absolutely not a thing,I upset that my tax dollars pay for all the people that are not working that are free loading,We have not benefited from our tax dollars ever since we been paying tax,91,government is too large and they don't decide what to do on the money,3,,1,It's good for the people that work and earn the credit not to people that make just a small amount of money,6,5,1,1,3,1,2,2,4,1,1,6,1,1,36,32,1,12,0.538743107
Kentucky,1,2,NA,I really like this survey,1,100,I really like this survey,I really like this survey,I really like this survey,1,I really like this survey,13,I really like this survey,I really like this survey,I really like this survey,I really like this survey,100,I really like this survey,1,I really like this survey,1,I really like this survey,7,1,1,1,20,1,3,2,1,1,2,6,6,1,18,52,2,19,5.000009728
Florida,1,2,7,The Internal Revenue Service,1,30,In 2014 mytax burned was $750.00,I hate it. I am retired and trying to survive as priceskeep going up,Income tax ,1,"withholding, medicare. unemployment socil security",0,no,"The military, social security, medicare",Money wasted byour government,"Yes. Social Security, Meicare",41,Congress waste,3,,3,,6,6,2,1,5,1,3,1,4,2,1,3,2,1,10,1,1,10,0.631671616
California,2,2,4,The first thing that pops in my mind when I hear the word taxes is tax returns.,1,43,Have yet to hold a job for a substantial amount of time to pay them as of yet.  They are taken out of my check from the temp agency I am employed through though. ,It feels somewhat fulfilling being a productive contributor to society. ,I prefer not to answer this question. ,1,I cannot recall at this particular time. ,0,no,I am not entirely too sure. ,To fund warfare. Too many innocent people have died as it is. When is it going to stop because enough is enough. ,No not quite. ,68,"War on black op's that are disinformed to us,  also for monitering of  innocent people. ",4,,3,,2,NA,2,NA,17,2,3,5,4,4,4,6,5,4,5,56,1,NA,0.570545043
